Feature Set	Prediction Repeat	Fold	Tuned Mtry	Tuned Min Node Size	Inner Rmse
agora2_exchange	34	4	27	10	0.896412356113556
agora2_exchange	34	5	27	5	0.943740432931303
agora2_exchange	35	1	27	10	0.948546783415204
agora2_exchange	35	2	155	10	0.85049216009193
agora2_exchange	35	3	27	5	0.946468088937185
agora2_exchange	35	4	27	10	0.988975699272361
agora2_exchange	35	5	27	5	0.959067326459466
agora2_exchange	36	1	77	5	0.956065202282669
agora2_exchange	36	2	259	10	0.85186765491594
agora2_exchange	36	3	155	3	0.952363004363883
agora2_exchange	36	4	27	10	0.755054114252535
agora2_exchange	36	5	27	3	0.989905530006064
agora2_exchange	37	1	155	10	0.875321724878829
agora2_exchange	37	2	259	5	1.00009645333467
agora2_exchange	37	3	27	3	0.77105621762325
agora2_exchange	37	4	77	10	0.925040095668621
agora2_exchange	37	5	27	3	1.06643766440793
agora2_exchange	38	1	77	5	0.862537471000882
agora2_exchange	38	2	27	10	1.02727501853823
agora2_exchange	38	3	259	3	0.796730998485365
agora2_exchange	38	4	27	3	0.916952386719531
agora2_exchange	38	5	155	10	0.914690357359266
agora2_exchange	39	1	27	5	0.978696701261602
agora2_exchange	39	2	27	10	0.801645349105377
agora2_exchange	39	3	27	5	1.03268014479667
agora2_exchange	39	4	155	10	0.926535602919911
agora2_exchange	39	5	27	5	0.925989525400562
agora2_exchange	40	1	259	10	0.957795987347494
agora2_exchange	40	2	27	10	0.944588737743765
agora2_exchange	40	3	259	10	0.872700165448276
agora2_exchange	40	4	259	10	0.964880774425387
agora2_exchange	40	5	259	10	0.827138365341788
agora2_exchange	41	1	27	3	1.0103956570141
agora2_exchange	41	2	27	10	0.933032436272015
agora2_exchange	41	3	77	10	0.931981216390099
agora2_exchange	41	4	27	3	0.957684558042168
agora2_exchange	41	5	27	10	0.836637142197498
agora2_exchange	42	1	27	10	0.849786886999336
agora2_exchange	42	2	27	10	1.12749776167098
agora2_exchange	42	3	77	10	0.866782813823686
agora2_exchange	42	4	259	10	0.857713170873496
agora2_exchange	42	5	27	5	1.00250863664628
agora2_exchange	43	1	259	3	0.897195944727685
agora2_exchange	43	2	77	10	0.851286423181919
agora2_exchange	43	3	27	10	0.953216870467491
agora2_exchange	43	4	155	10	0.909228015241625
agora2_exchange	43	5	155	10	0.981411335608371
agora2_exchange	44	1	155	10	0.882854888722828
agora2_exchange	44	2	27	3	1.0487518489205
agora2_exchange	44	3	27	5	0.801994139490612
agora2_exchange	44	4	77	10	0.918480895756464
agora2_exchange	44	5	77	3	0.939618395138458
agora2_exchange	45	1	27	10	0.875097790181671
agora2_exchange	45	2	27	5	0.996337386226676
agora2_exchange	45	3	77	10	0.93143765759347
agora2_exchange	45	4	27	10	0.898664901520266
agora2_exchange	45	5	27	5	0.879172500847096
agora2_exchange	46	1	77	10	0.985522325175802
agora2_exchange	46	2	27	5	0.772062647249501
agora2_exchange	46	3	27	10	0.86435314168665
agora2_exchange	46	4	27	10	1.00830704150583
agora2_exchange	46	5	155	10	0.965019788476392
agora2_exchange	47	1	27	10	0.967825218197918
agora2_exchange	47	2	27	10	0.898927597015544
agora2_exchange	47	3	155	10	0.907060993992084
agora2_exchange	47	4	27	10	0.884438842788105
agora2_exchange	47	5	27	10	0.931273097458593
agora2_exchange	48	1	27	5	0.989032530467056
agora2_exchange	48	2	27	10	1.01539885324083
agora2_exchange	48	3	27	10	0.889517363509554
agora2_exchange	48	4	155	10	0.983781100377688
agora2_exchange	48	5	77	10	0.917825639214543
agora2_exchange	49	1	77	10	0.994551618930938
agora2_exchange	49	2	27	10	0.877606449073066
agora2_exchange	49	3	27	10	0.904431118262201
agora2_exchange	49	4	27	5	0.895912425607059
agora2_exchange	49	5	155	10	0.815453289629082
agora2_exchange	50	1	259	3	0.863276330184081
agora2_exchange	50	2	77	3	0.948485000251766
agora2_exchange	50	3	27	10	0.948173162471445
agora2_exchange	50	4	27	10	0.949669360019819
agora2_exchange	50	5	27	10	0.812552779750625
agora2_model_features	1	1	581	10	0.929031963222252
agora2_model_features	1	2	53	5	0.8743624338461
agora2_model_features	1	3	53	3	0.917860989966065
agora2_model_features	1	4	290	5	0.931574593476604
agora2_model_features	1	5	290	5	0.85825851603462
agora2_model_features	2	1	290	10	1.05370028350402
agora2_model_features	2	2	53	10	0.900197353342556
agora2_model_features	2	3	53	10	0.870611929920453
agora2_model_features	2	4	968	10	0.912657407408703
agora2_model_features	2	5	581	10	0.963625520123028
agora2_model_features	3	1	53	10	0.900928903933992
agora2_model_features	3	2	968	10	0.885224309887648
agora2_model_features	3	3	53	10	0.899002694090135
agora2_model_features	3	4	581	5	0.892131674654758
agora2_model_features	3	5	53	3	0.914513902487718
agora2_model_features	4	1	53	3	0.899321298971884
agora2_model_features	4	2	290	10	1.00408025878475
agora2_model_features	4	3	290	10	0.842574398938671
agora2_model_features	4	4	290	10	0.887517990334919
agora2_model_features	4	5	53	10	1.06141674486013
agora2_model_features	5	1	53	3	0.815748902206624
agora2_model_features	5	2	581	5	0.909640434905573
agora2_model_features	5	3	290	3	0.893442578333278
agora2_model_features	5	4	581	3	0.802428466675095
agora2_model_features	5	5	968	5	0.925085978328059
agora2_model_features	6	1	968	10	0.95492159535888
agora2_model_features	6	2	53	10	0.924636436705093
agora2_model_features	6	3	290	10	0.97011442806474
agora2_model_features	6	4	968	5	0.884952132157421
agora2_model_features	6	5	53	10	0.958167342325608
agora2_model_features	7	1	581	10	0.8419695752398
agora2_model_features	7	2	968	10	0.867951107276774
agora2_model_features	7	3	968	10	0.958053197040447
agora2_model_features	7	4	53	10	0.906763131936687
agora2_model_features	7	5	53	10	1.08566868712252
agora2_model_features	8	1	290	3	0.971072455740604
agora2_model_features	8	2	581	10	0.863338311237646
agora2_model_features	8	3	53	10	0.995547692392694
agora2_model_features	8	4	290	10	0.883183694581847
agora2_model_features	8	5	53	3	0.926341248733674
agora2_model_features	9	1	581	5	0.882342287701059
agora2_model_features	9	2	53	3	0.974172500136531
agora2_model_features	9	3	968	10	1.05338210920311
agora2_model_features	9	4	53	10	0.902449616733957
agora2_model_features	9	5	581	10	0.823261316749354
agora2_model_features	10	1	290	3	0.747635081757807
agora2_model_features	10	2	290	5	0.96223931565704
agora2_model_features	10	3	968	10	0.938166561750857
agora2_model_features	10	4	53	3	1.00178612973134
agora2_model_features	10	5	581	5	0.953865220180694
agora2_model_features	11	1	53	3	0.889914885091232
agora2_model_features	11	2	53	10	1.06852530037599
agora2_model_features	11	3	53	3	0.808526453471024
agora2_model_features	11	4	53	3	0.998361708244471
agora2_model_features	11	5	968	10	0.947201991054859
agora2_model_features	12	1	968	10	0.770110221978329
agora2_model_features	12	2	968	10	0.978895310818093
agora2_model_features	12	3	968	3	0.919761903387513
agora2_model_features	12	4	290	10	0.958072889956342
agora2_model_features	12	5	53	10	0.930511204641259
agora2_model_features	13	1	968	5	1.00793883821031
agora2_model_features	13	2	53	10	0.936751468249969
agora2_model_features	13	3	968	5	0.942460563578631
agora2_model_features	13	4	53	10	0.578588915994007
agora2_model_features	13	5	53	10	1.12824221239814
agora2_model_features	14	1	290	10	0.768354288972366
agora2_model_features	14	2	290	10	1.00852611180266
agora2_model_features	14	3	53	10	1.00549527362114
agora2_model_features	14	4	290	10	1.04989814321224
agora2_model_features	14	5	581	10	0.99068451938631
agora2_model_features	15	1	53	5	0.962931581211573
agora2_model_features	15	2	581	10	0.900302509578248
agora2_model_features	15	3	581	10	0.821113296306833
agora2_model_features	15	4	290	10	0.908140002311595
agora2_model_features	15	5	53	10	0.925367976466846
agora2_model_features	16	1	290	10	1.01733372462359
agora2_model_features	16	2	53	3	1.0077855765322
agora2_model_features	16	3	581	5	0.896309003250698
agora2_model_features	16	4	968	10	0.920603833678142
agora2_model_features	16	5	53	5	0.836061212218875
agora2_model_features	17	1	290	3	0.929994847493221
agora2_model_features	17	2	581	5	0.901653853161917
agora2_model_features	17	3	53	3	0.92424802480851
agora2_model_features	17	4	53	10	0.913818643933631
agora2_model_features	17	5	53	10	0.93578273994273
agora2_model_features	18	1	53	10	0.812590218326419
agora2_model_features	18	2	581	10	0.982404440979709
agora2_model_features	18	3	290	10	0.870899982936282
agora2_model_features	18	4	581	3	0.883402735054555
agora2_model_features	18	5	53	3	0.961754739528634
agora2_model_features	19	1	290	10	0.766144169401883
agora2_model_features	19	2	968	10	0.993906302352653
agora2_model_features	19	3	581	10	1.02460849157416
agora2_model_features	19	4	968	10	0.922604385512622
agora2_model_features	19	5	53	10	0.908836671371663
agora2_model_features	20	1	290	10	0.986119220583433
agora2_model_features	20	2	968	10	0.980873419598234
agora2_model_features	20	3	53	10	0.943074073186006
agora2_model_features	20	4	53	10	0.874852996457474
agora2_model_features	20	5	53	5	0.887478617347333
agora2_model_features	21	1	290	10	0.939986286924609
agora2_model_features	21	2	968	10	0.888114668361736
agora2_model_features	21	3	53	5	0.946997182513592
agora2_model_features	21	4	290	3	0.863045611986653
agora2_model_features	21	5	290	10	0.983793848920841
agora2_model_features	22	1	581	10	0.849029696686981
agora2_model_features	22	2	53	10	0.926764037392936
agora2_model_features	22	3	290	10	0.864631766516703
agora2_model_features	22	4	968	10	0.907338287247081
agora2_model_features	22	5	968	10	0.934954319715272
agora2_model_features	23	1	290	10	0.95348219714429
agora2_model_features	23	2	581	5	1.08279936380704
agora2_model_features	23	3	581	10	0.819690278339943
agora2_model_features	23	4	53	3	0.911474713121311
agora2_model_features	23	5	581	10	0.993809805939115
agora2_model_features	24	1	968	10	0.893740242967586
agora2_model_features	24	2	53	10	0.845298705083353
agora2_model_features	24	3	53	10	0.950296973439381
agora2_model_features	24	4	290	10	1.11189499870918
agora2_model_features	24	5	53	5	0.845905660994927
agora2_model_features	25	1	290	3	0.858057086967618
agora2_model_features	25	2	290	3	0.816627472076622
agora2_model_features	25	3	290	10	0.928789202504308
agora2_model_features	25	4	53	3	0.85126666020238
agora2_model_features	25	5	290	3	0.971608890717846
agora2_model_features	26	1	53	5	0.927482235107329
agora2_model_features	26	2	53	5	0.871181137500461
agora2_model_features	26	3	581	3	0.973254156535877
agora2_model_features	26	4	53	10	0.924804542141919
agora2_model_features	26	5	53	10	1.00852633995974
agora2_model_features	27	1	290	5	0.920633792682496
agora2_model_features	27	2	53	3	0.899002285024258
